141	133.1	163.1	131.7	179.2	125.8	197.9	119.5	203.7	116.5	215.2	112.4																
113.6	136.1	148.9	125.8	168.5	123.4	177.8	119																				
46	100.4	72.8	96.6	95.9	91.7	112.6	89.3	123.7	88.3																		
29.3	129.9	47.7	124	60.3	122.7																						
49.1	118.5	64.8	119.5	79.1	122.5																						
105.6	127.5	124.1	122.7	137.7	119.5	151	117.4																				
114.2	125.3	126.5	119.2	144	116	155.1	113.3	170.5	112.9	182.7	112.6																
113.6	118.5	129	112.2	139.4	110.1																						
110.2	131	125.2	126.5																								
28.9	139.3	49.5	137.2	63.1	135.9	73.2	136.2	84.4	139.7	93.1	141.1																
63.8	130.3	71.1	128.9	83.3	135.2	93.1	141.1																				
93.1	141.1	103.2	142.1	119.9	144.9	133.9	144.5	149.2	141.1	162.8	139	176.8	136.5	185.5	131.3	195.6	126.1										
176.8	136.5	187.6	135.9																								
24.7	147.3	40.4	143.2																								
20.5	159.5	34.8	153.9	42.9	147.3																						
49.1	143.2	55.3	136.7																								
17.8	167.5	35.9	159.1	49.5	155.3	59.9	151.5	65.2	149.8																		
34.8	153.9	53	147	66.2	143.5	76	143.2	88.5	144.2	99	145.2																
61.2	144.8	70.2	136.1																								
13.6	171.3	31.7	168.2	50.9	166.4	67.6	165.7	93.1	165																		
74.2	157.4	89.6	157.7	98	157.7																						
13.6	171.3	24	176.2	34.5	178.9																						
11.5	187.3	29.3	182.1	42.9	177.9	52.3	177.9	61	73.5	182.4	102.5															
115.4	164	135.6	158.4																								
8	222.4	32.8	217.9																								
6.3	236.6	36.9	242.5	62.7	245.3	73.5	246.3	94.1	246.3	103.2	246.3																
31.4	235.2	47.7	235.9	60.6	237.3																						
93.1	202.9	119.6	195.3	129.7	193.9																						
106	191.1	129.7	193.9																								
129.7	193.9	155.1	201.5	174.3	208.8	191.4	217.5	198	224.8	206	232.4																
182.3	226.2	175.4	189.4	169.4	158.1	166.7	147.2																				
186.5	170.3	208.8	171.6	227	171.3	237.7	171																				
201.5	151.8	208.1	165	213.4	179.3																						
190	153.2	206.4	184.8	221	212.6	230.1	233.1																				
192.4	182.8	208.5	212.6	217.5	227.6																						
189.3	167.8	213.7	158.1	229.4	149.8	235.5	145																				
225.9	191.4	225.2	222																								
196.3	180	213.7	184.5	221.7	186.2																						
120.6	254.3	156.2	254	190.7	255.4	213.4	259.2	225.2	263																		
216.9	256.8	239.7	264.6																								
118.5	249.8	112.2	219.9	111.9	204.7	110.8	197.8																				
100.4	191.4	104.2	220.6	109.8	251.6	112.1	271.6																				
90.3	215.4	90.3	236.3	90.6	261.3	93.1	281.1	97.3	301.9	98.7	342.6	102.5	388.8	103.5	423.5	106	455.9	107	472.2								
97.3	301.9	113.6	325.9	122.7	340.5																						
93.6	284	103.2	301.9																								
